"attacking_mechdef_id","defending_mechdef_id","wins","total_battles"
mechdef_atlas_AS7-D,mechdef_panther1b_PNT-9R,100,100
mechdef_atlas_AS7-D,mechdef_quickdraw_QKD-4G,100,100
mechdef_atlas_AS7-D,mechdef_quickdraw_QKD-5A,100,100
mechdef_atlas_AS7-D,mechdef_shadowhawk_SHD-2D,100,100
mechdef_atlas_AS7-D,mechdef_shadowhawk_SHD-2H,100,100
mechdef_atlas_AS7-D,mechdef_shadowhawk1b_SHD-2D,100,100
mechdef_atlas_AS7-D,mechdef_spider_SDR-5V,100,100
mechdef_atlas_AS7-D,mechdef_stalker_STK-3F,91,100
mechdef_atlas_AS7-D,mechdef_thunderbolt_TDR-5S,100,100
mechdef_atlas_AS7-D,mechdef_thunderbolt_TDR-5SE,100,100
mechdef_atlas_AS7-D,mechdef_thunderbolt_TDR-5SS,100,100
mechdef_atlas_AS7-D,mechdef_trebuchet_TBT-5N,100,100
mechdef_atlas_AS7-D,mechdef_urbanmech_UM-R60,100,100
mechdef_atlas_AS7-D,mechdef_urbanmech_UM-R60L,100,100
mechdef_atlas_AS7-D,mechdef_urbanmech_UM-R90,100,100
mechdef_atlas_AS7-D,mechdef_victor_VTR-9B,100,100
mechdef_atlas_AS7-D,mechdef_victor_VTR-9S,99,100
mechdef_atlas_AS7-D,mechdef_vindicator_VND-1AA,100,100
mechdef_atlas_AS7-D,mechdef_vindicator_VND-1R,100,100
mechdef_atlas_AS7-D,mechdef_wolverine_WVR-6K,100,100
mechdef_atlas_AS7-D,mechdef_wolverine_WVR-6R,100,100
mechdef_atlas_AS7-D,mechdef_zeus_ZEU-6S,100,100
mechdef_atlas_AS7-D-HT,mechdef_atlas_AS7-D,63,100
mechdef_atlas_AS7-D-HT,mechdef_atlas_AS7-D-HT,60,100
mechdef_atlas_AS7-D-HT,mechdef_awesome_AWS-8Q,100,100
mechdef_atlas_AS7-D-HT,mechdef_awesome_AWS-8T,100,100
mechdef_atlas_AS7-D-HT,mechdef_banshee_BNC-3E,100,100
mechdef_atlas_AS7-D-HT,mechdef_banshee_BNC-3M,100,100
mechdef_atlas_AS7-D-HT,mechdef_banshee_BNC-3S,90,100
mechdef_atlas_AS7-D-HT,mechdef_battlemaster_BLR-1G,99,100
mechdef_atlas_AS7-D-HT,mechdef_blackjack_BJ-1,100,100
mechdef_atlas_AS7-D-HT,mechdef_blackjack_BJ-1DB,100,100
mechdef_atlas_AS7-D-HT,mechdef_blackknight_BL-6-KNT,100,100
mechdef_atlas_AS7-D-HT,mechdef_blackknight_BL-6b-KNT,100,100
mechdef_atlas_AS7-D-HT,mechdef_cataphract_CTF-1X,100,100
mechdef_atlas_AS7-D-HT,mechdef_catapult_CPLT-C1,100,100
mechdef_atlas_AS7-D-HT,mechdef_catapult_CPLT-C4,100,100
mechdef_atlas_AS7-D-HT,mechdef_catapult_CPLT-K2,100,100
mechdef_atlas_AS7-D-HT,mechdef_centurion_CN9-A,100,100
mechdef_atlas_AS7-D-HT,mechdef_centurion_CN9-AL,100,100
mechdef_atlas_AS7-D-HT,mechdef_centurion_CN9-AS,100,100
mechdef_atlas_AS7-D-HT,mechdef_cicada_CDA-2A,100,100
mechdef_atlas_AS7-D-HT,mechdef_cicada_CDA-3C,100,100
mechdef_atlas_AS7-D-HT,mechdef_commando_COM-1B,100,100
mechdef_atlas_AS7-D-HT,mechdef_commando_COM-2D,100,100
mechdef_atlas_AS7-D-HT,mechdef_dragon_DRG-1N,100,100
mechdef_atlas_AS7-D-HT,mechdef_enforcer_ENF-4R,100,100
mechdef_atlas_AS7-D-HT,mechdef_firestarter_FS9-H,90,100
mechdef_atlas_AS7-D-HT,mechdef_grasshopper_GHR-5H,100,100
mechdef_atlas_AS7-D-HT,mechdef_griffin_GRF-1N,100,100
mechdef_atlas_AS7-D-HT,mechdef_griffin_GRF-1S,100,100
mechdef_atlas_AS7-D-HT,mechdef_griffin_GRF-4N,100,100
mechdef_atlas_AS7-D-HT,mechdef_griffin_GRF-4N_fp_greed,100,100
mechdef_atlas_AS7-D-HT,mechdef_highlander_HGN-732b,91,100
mechdef_atlas_AS7-D-HT,mechdef_highlander_HGN-733,97,100
mechdef_atlas_AS7-D-HT,mechdef_highlander_HGN-733P,97,100
mechdef_atlas_AS7-D-HT,mechdef_hunchback_HBK-4G,100,100
mechdef_atlas_AS7-D-HT,mechdef_hunchback_HBK-4P,100,100
mechdef_atlas_AS7-D-HT,mechdef_jagermech_JM6-A,100,100
mechdef_atlas_AS7-D-HT,mechdef_jagermech_JM6-S,100,100
mechdef_atlas_AS7-D-HT,mechdef_jenner_JR7-D,100,100
mechdef_atlas_AS7-D-HT,mechdef_kingcrab_KGC-0000,90,100
mechdef_atlas_AS7-D-HT,mechdef_kingcrab_KGC-V-0000,87,100
mechdef_atlas_AS7-D-HT,mechdef_kintaro_KTO-18,100,100
mechdef_atlas_AS7-D-HT,mechdef_locust_LCT-1M,100,100
mechdef_atlas_AS7-D-HT,mechdef_locust_LCT-1S,100,100
mechdef_atlas_AS7-D-HT,mechdef_locust_LCT-1V,100,100
mechdef_atlas_AS7-D-HT,mechdef_orion_ON1-K,99,100
mechdef_atlas_AS7-D-HT,mechdef_orion_ON1-V,100,100
mechdef_atlas_AS7-D-HT,mechdef_panther1b_PNT-9R,100,100
mechdef_atlas_AS7-D-HT,mechdef_quickdraw_QKD-4G,100,100
mechdef_atlas_AS7-D-HT,mechdef_quickdraw_QKD-5A,100,100
mechdef_atlas_AS7-D-HT,mechdef_shadowhawk_SHD-2D,100,100
mechdef_atlas_AS7-D-HT,mechdef_shadowhawk_SHD-2H,100,100
mechdef_atlas_AS7-D-HT,mechdef_shadowhawk1b_SHD-2D,100,100
mechdef_atlas_AS7-D-HT,mechdef_spider_SDR-5V,100,100
mechdef_atlas_AS7-D-HT,mechdef_stalker_STK-3F,93,100
mechdef_atlas_AS7-D-HT,mechdef_thunderbolt_TDR-5S,100,100
mechdef_atlas_AS7-D-HT,mechdef_thunderbolt_TDR-5SE,100,100
mechdef_atlas_AS7-D-HT,mechdef_thunderbolt_TDR-5SS,100,100
mechdef_atlas_AS7-D-HT,mechdef_trebuchet_TBT-5N,100,100
mechdef_atlas_AS7-D-HT,mechdef_urbanmech_UM-R60,100,100
mechdef_atlas_AS7-D-HT,mechdef_urbanmech_UM-R60L,100,100
mechdef_atlas_AS7-D-HT,mechdef_urbanmech_UM-R90,100,100
mechdef_atlas_AS7-D-HT,mechdef_victor_VTR-9B,100,100
mechdef_atlas_AS7-D-HT,mechdef_victor_VTR-9S,100,100
mechdef_atlas_AS7-D-HT,mechdef_vindicator_VND-1AA,100,100
mechdef_atlas_AS7-D-HT,mechdef_vindicator_VND-1R,100,100
mechdef_atlas_AS7-D-HT,mechdef_wolverine_WVR-6K,100,100
mechdef_atlas_AS7-D-HT,mechdef_wolverine_WVR-6R,100,100
mechdef_atlas_AS7-D-HT,mechdef_zeus_ZEU-6S,100,100
mechdef_awesome_AWS-8Q,mechdef_awesome_AWS-8Q,60,100
mechdef_awesome_AWS-8Q,mechdef_awesome_AWS-8T,34,100
mechdef_awesome_AWS-8Q,mechdef_banshee_BNC-3E,78,100
mechdef_awesome_AWS-8Q,mechdef_banshee_BNC-3M,33,100
mechdef_awesome_AWS-8Q,mechdef_battlemaster_BLR-1G,3,100
mechdef_awesome_AWS-8Q,mechdef_blackjack_BJ-1,100,100
mechdef_awesome_AWS-8Q,mechdef_blackjack_BJ-1DB,100,100
mechdef_awesome_AWS-8Q,mechdef_blackknight_BL-6-KNT,34,100
mechdef_awesome_AWS-8Q,mechdef_blackknight_BL-6b-KNT,32,100
mechdef_awesome_AWS-8Q,mechdef_cataphract_CTF-1X,55,100
mechdef_awesome_AWS-8Q,mechdef_catapult_CPLT-C1,89,100
mechdef_awesome_AWS-8Q,mechdef_catapult_CPLT-C4,90,100
mechdef_awesome_AWS-8Q,mechdef_catapult_CPLT-K2,86,100
mechdef_awesome_AWS-8Q,mechdef_centurion_CN9-A,99,100
mechdef_awesome_AWS-8Q,mechdef_centurion_CN9-AL,98,100
mechdef_awesome_AWS-8Q,mechdef_centurion_CN9-AS,100,100
mechdef_awesome_AWS-8Q,mechdef_cicada_CDA-2A,100,100
mechdef_awesome_AWS-8Q,mechdef_cicada_CDA-3C,100,100
mechdef_awesome_AWS-8Q,mechdef_commando_COM-1B,100,100
mechdef_awesome_AWS-8Q,mechdef_commando_COM-2D,100,100
mechdef_awesome_AWS-8Q,mechdef_dragon_DRG-1N,96,100
mechdef_awesome_AWS-8Q,mechdef_enforcer_ENF-4R,100,100
mechdef_awesome_AWS-8Q,mechdef_firestarter_FS9-H,2,100
mechdef_awesome_AWS-8Q,mechdef_grasshopper_GHR-5H,88,100
mechdef_awesome_AWS-8Q,mechdef_griffin_GRF-1N,99,100
mechdef_awesome_AWS-8Q,mechdef_griffin_GRF-1S,100,100
mechdef_awesome_AWS-8Q,mechdef_griffin_GRF-4N,91,100
mechdef_awesome_AWS-8Q,mechdef_griffin_GRF-4N_fp_greed,91,100
mechdef_awesome_AWS-8Q,mechdef_highlander_HGN-733,2,100
mechdef_awesome_AWS-8Q,mechdef_highlander_HGN-733P,4,100
mechdef_awesome_AWS-8Q,mechdef_hunchback_HBK-4G,86,100
mechdef_awesome_AWS-8Q,mechdef_hunchback_HBK-4P,80,100
mechdef_awesome_AWS-8Q,mechdef_jagermech_JM6-A,98,100
mechdef_awesome_AWS-8Q,mechdef_jagermech_JM6-S,97,100
mechdef_awesome_AWS-8Q,mechdef_jenner_JR7-D,100,100
mechdef_awesome_AWS-8Q,mechdef_kingcrab_KGC-0000,10,100
mechdef_awesome_AWS-8Q,mechdef_kingcrab_KGC-V-0000,9,100
mechdef_awesome_AWS-8Q,mechdef_kintaro_KTO-18,72,100
mechdef_awesome_AWS-8Q,mechdef_locust_LCT-1M,100,100
mechdef_awesome_AWS-8Q,mechdef_locust_LCT-1S,100,100
mechdef_awesome_AWS-8Q,mechdef_locust_LCT-1V,100,100
mechdef_awesome_AWS-8Q,mechdef_orion_ON1-K,24,100
mechdef_awesome_AWS-8Q,mechdef_orion_ON1-V,30,100
mechdef_awesome_AWS-8Q,mechdef_panther1b_PNT-9R,100,100
mechdef_awesome_AWS-8Q,mechdef_quickdraw_QKD-4G,99,100
mechdef_awesome_AWS-8Q,mechdef_quickdraw_QKD-5A,98,100
mechdef_awesome_AWS-8Q,mechdef_shadowhawk_SHD-2D,99,100
mechdef_awesome_AWS-8Q,mechdef_shadowhawk_SHD-2H,100,100
mechdef_awesome_AWS-8Q,mechdef_shadowhawk1b_SHD-2D,100,100
mechdef_awesome_AWS-8Q,mechdef_spider_SDR-5V,100,100
mechdef_awesome_AWS-8Q,mechdef_stalker_STK-3F,1,100
mechdef_awesome_AWS-8Q,mechdef_thunderbolt_TDR-5S,37,100
mechdef_awesome_AWS-8Q,mechdef_thunderbolt_TDR-5SE,75,100
mechdef_awesome_AWS-8Q,mechdef_thunderbolt_TDR-5SS,65,100
mechdef_awesome_AWS-8Q,mechdef_trebuchet_TBT-5N,100,100
mechdef_awesome_AWS-8Q,mechdef_urbanmech_UM-R60,100,100
mechdef_awesome_AWS-8Q,mechdef_urbanmech_UM-R60L,100,100
mechdef_awesome_AWS-8Q,mechdef_urbanmech_UM-R90,100,100
mechdef_awesome_AWS-8Q,mechdef_victor_VTR-9B,48,100
mechdef_awesome_AWS-8Q,mechdef_victor_VTR-9S,42,100
mechdef_awesome_AWS-8Q,mechdef_vindicator_VND-1AA,100,100
mechdef_awesome_AWS-8Q,mechdef_vindicator_VND-1R,100,100
mechdef_awesome_AWS-8Q,mechdef_wolverine_WVR-6K,95,100
mechdef_awesome_AWS-8Q,mechdef_wolverine_WVR-6R,98,100
mechdef_awesome_AWS-8Q,mechdef_zeus_ZEU-6S,69,100
mechdef_awesome_AWS-8T,mechdef_awesome_AWS-8Q,66,100
mechdef_awesome_AWS-8T,mechdef_awesome_AWS-8T,40,100
mechdef_awesome_AWS-8T,mechdef_banshee_BNC-3E,74,100
mechdef_awesome_AWS-8T,mechdef_banshee_BNC-3M,28,100
mechdef_awesome_AWS-8T,mechdef_banshee_BNC-3S,1,100
mechdef_awesome_AWS-8T,mechdef_battlemaster_BLR-1G,8,100
mechdef_awesome_AWS-8T,mechdef_blackjack_BJ-1,100,100
mechdef_awesome_AWS-8T,mechdef_blackjack_BJ-1DB,100,100
mechdef_awesome_AWS-8T,mechdef_blackknight_BL-6-KNT,58,100
mechdef_awesome_AWS-8T,mechdef_blackknight_BL-6b-KNT,30,100
mechdef_awesome_AWS-8T,mechdef_cataphract_CTF-1X,76,100
mechdef_awesome_AWS-8T,mechdef_catapult_CPLT-C1,96,100
mechdef_awesome_AWS-8T,mechdef_catapult_CPLT-C4,98,100
mechdef_awesome_AWS-8T,mechdef_catapult_CPLT-K2,94,100
mechdef_awesome_AWS-8T,mechdef_centurion_CN9-A,100,100
mechdef_awesome_AWS-8T,mechdef_centurion_CN9-AL,100,100
mechdef_awesome_AWS-8T,mechdef_centurion_CN9-AS,100,100
mechdef_awesome_AWS-8T,mechdef_cicada_CDA-2A,100,100
mechdef_awesome_AWS-8T,mechdef_cicada_CDA-3C,100,100
mechdef_awesome_AWS-8T,mechdef_commando_COM-1B,100,100
mechdef_awesome_AWS-8T,mechdef_commando_COM-2D,100,100
mechdef_awesome_AWS-8T,mechdef_dragon_DRG-1N,99,100
mechdef_awesome_AWS-8T,mechdef_enforcer_ENF-4R,99,100
mechdef_awesome_AWS-8T,mechdef_grasshopper_GHR-5H,96,100
mechdef_awesome_AWS-8T,mechdef_griffin_GRF-1N,100,100
mechdef_awesome_AWS-8T,mechdef_griffin_GRF-1S,100,100
mechdef_awesome_AWS-8T,mechdef_griffin_GRF-4N,94,100
mechdef_awesome_AWS-8T,mechdef_griffin_GRF-4N_fp_greed,96,100
mechdef_awesome_AWS-8T,mechdef_highlander_HGN-733,1,100
mechdef_awesome_AWS-8T,mechdef_highlander_HGN-733P,4,100
mechdef_awesome_AWS-8T,mechdef_hunchback_HBK-4G,98,100
mechdef_awesome_AWS-8T,mechdef_hunchback_HBK-4P,96,100
mechdef_awesome_AWS-8T,mechdef_jagermech_JM6-A,93,100
mechdef_awesome_AWS-8T,mechdef_jagermech_JM6-S,99,100
mechdef_awesome_AWS-8T,mechdef_jenner_JR7-D,100,100
mechdef_awesome_AWS-8T,mechdef_kingcrab_KGC-0000,5,100
mechdef_awesome_AWS-8T,mechdef_kingcrab_KGC-V-0000,4,100
mechdef_awesome_AWS-8T,mechdef_kintaro_KTO-18,90,100
mechdef_awesome_AWS-8T,mechdef_locust_LCT-1M,100,100
mechdef_awesome_AWS-8T,mechdef_locust_LCT-1S,100,100
mechdef_awesome_AWS-8T,mechdef_locust_LCT-1V,100,100
mechdef_awesome_AWS-8T,mechdef_orion_ON1-K,35,100
mechdef_awesome_AWS-8T,mechdef_orion_ON1-V,64,100
mechdef_awesome_AWS-8T,mechdef_panther1b_PNT-9R,100,100
mechdef_awesome_AWS-8T,mechdef_quickdraw_QKD-4G,100,100
mechdef_awesome_AWS-8T,mechdef_quickdraw_QKD-5A,100,100
mechdef_awesome_AWS-8T,mechdef_shadowhawk_SHD-2D,100,100
mechdef_awesome_AWS-8T,mechdef_shadowhawk_SHD-2H,100,100
mechdef_awesome_AWS-8T,mechdef_shadowhawk1b_SHD-2D,100,100
mechdef_awesome_AWS-8T,mechdef_spider_SDR-5V,100,100
mechdef_awesome_AWS-8T,mechdef_stalker_STK-3F,1,100
mechdef_awesome_AWS-8T,mechdef_thunderbolt_TDR-5S,58,100
mechdef_awesome_AWS-8T,mechdef_thunderbolt_TDR-5SE,84,100
mechdef_awesome_AWS-8T,mechdef_thunderbolt_TDR-5SS,74,100
mechdef_awesome_AWS-8T,mechdef_trebuchet_TBT-5N,100,100
mechdef_awesome_AWS-8T,mechdef_urbanmech_UM-R60,100,100
mechdef_awesome_AWS-8T,mechdef_urbanmech_UM-R60L,100,100
mechdef_awesome_AWS-8T,mechdef_urbanmech_UM-R90,100,100
mechdef_awesome_AWS-8T,mechdef_victor_VTR-9B,72,100
mechdef_awesome_AWS-8T,mechdef_victor_VTR-9S,60,100
mechdef_awesome_AWS-8T,mechdef_vindicator_VND-1AA,100,100
mechdef_awesome_AWS-8T,mechdef_vindicator_VND-1R,100,100
mechdef_awesome_AWS-8T,mechdef_wolverine_WVR-6K,99,100
mechdef_awesome_AWS-8T,mechdef_wolverine_WVR-6R,100,100
mechdef_awesome_AWS-8T,mechdef_zeus_ZEU-6S,83,100
mechdef_banshee_BNC-3E,mechdef_awesome_AWS-8Q,22,100
mechdef_banshee_BNC-3E,mechdef_awesome_AWS-8T,26,100
mechdef_banshee_BNC-3E,mechdef_banshee_BNC-3E,50,100
mechdef_banshee_BNC-3E,mechdef_banshee_BNC-3M,4,100
mechdef_banshee_BNC-3E,mechdef_battlemaster_BLR-1G,1,100
mechdef_banshee_BNC-3E,mechdef_blackjack_BJ-1,100,100
mechdef_banshee_BNC-3E,mechdef_blackjack_BJ-1DB,99,100
mechdef_banshee_BNC-3E,mechdef_blackknight_BL-6-KNT,15,100
mechdef_banshee_BNC-3E,mechdef_blackknight_BL-6b-KNT,5,100
mechdef_banshee_BNC-3E,mechdef_cataphract_CTF-1X,42,100
mechdef_banshee_BNC-3E,mechdef_catapult_CPLT-C1,57,100
mechdef_banshee_BNC-3E,mechdef_catapult_CPLT-C4,67,100
mechdef_banshee_BNC-3E,mechdef_catapult_CPLT-K2,70,100
mechdef_banshee_BNC-3E,mechdef_centurion_CN9-A,98,100
mechdef_banshee_BNC-3E,mechdef_centurion_CN9-AL,97,100
mechdef_banshee_BNC-3E,mechdef_centurion_CN9-AS,100,100
mechdef_banshee_BNC-3E,mechdef_cicada_CDA-2A,100,100
mechdef_banshee_BNC-3E,mechdef_cicada_CDA-3C,100,100
mechdef_banshee_BNC-3E,mechdef_commando_COM-1B,100,100
mechdef_banshee_BNC-3E,mechdef_commando_COM-2D,100,100
mechdef_banshee_BNC-3E,mechdef_dragon_DRG-1N,86,100
mechdef_banshee_BNC-3E,mechdef_enforcer_ENF-4R,97,100
mechdef_banshee_BNC-3E,mechdef_grasshopper_GHR-5H,54,100
mechdef_banshee_BNC-3E,mechdef_griffin_GRF-1N,100,100
mechdef_banshee_BNC-3E,mechdef_griffin_GRF-1S,98,100
mechdef_banshee_BNC-3E,mechdef_griffin_GRF-4N,78,100
mechdef_banshee_BNC-3E,mechdef_griffin_GRF-4N_fp_greed,77,100
mechdef_banshee_BNC-3E,mechdef_highlander_HGN-733,1,100
mechdef_banshee_BNC-3E,mechdef_hunchback_HBK-4G,82,100
mechdef_banshee_BNC-3E,mechdef_hunchback_HBK-4P,53,100
mechdef_banshee_BNC-3E,mechdef_jagermech_JM6-A,88,100
mechdef_banshee_BNC-3E,mechdef_jagermech_JM6-S,97,100
mechdef_banshee_BNC-3E,mechdef_jenner_JR7-D,100,100
mechdef_banshee_BNC-3E,mechdef_kingcrab_KGC-0000,4,100
mechdef_banshee_BNC-3E,mechdef_kingcrab_KGC-V-0000,1,100
mechdef_banshee_BNC-3E,mechdef_kintaro_KTO-18,46,100
mechdef_banshee_BNC-3E,mechdef_locust_LCT-1M,100,100
mechdef_banshee_BNC-3E,mechdef_locust_LCT-1S,100,100
mechdef_banshee_BNC-3E,mechdef_locust_LCT-1V,100,100
mechdef_banshee_BNC-3E,mechdef_orion_ON1-K,4,100
mechdef_banshee_BNC-3E,mechdef_orion_ON1-V,17,100
mechdef_banshee_BNC-3E,mechdef_panther1b_PNT-9R,100,100
mechdef_banshee_BNC-3E,mechdef_quickdraw_QKD-4G,94,100
mechdef_banshee_BNC-3E,mechdef_quickdraw_QKD-5A,92,100
mechdef_banshee_BNC-3E,mechdef_shadowhawk_SHD-2D,100,100
mechdef_banshee_BNC-3E,mechdef_shadowhawk_SHD-2H,100,100
mechdef_banshee_BNC-3E,mechdef_shadowhawk1b_SHD-2D,100,100
mechdef_banshee_BNC-3E,mechdef_spider_SDR-5V,100,100
mechdef_banshee_BNC-3E,mechdef_thunderbolt_TDR-5S,19,100
mechdef_banshee_BNC-3E,mechdef_thunderbolt_TDR-5SE,45,100
mechdef_banshee_BNC-3E,mechdef_thunderbolt_TDR-5SS,33,100
mechdef_banshee_BNC-3E,mechdef_trebuchet_TBT-5N,89,100
mechdef_banshee_BNC-3E,mechdef_urbanmech_UM-R60,100,100
mechdef_banshee_BNC-3E,mechdef_urbanmech_UM-R60L,100,100
mechdef_banshee_BNC-3E,mechdef_urbanmech_UM-R90,100,100
mechdef_banshee_BNC-3E,mechdef_victor_VTR-9B,30,100
mechdef_banshee_BNC-3E,mechdef_victor_VTR-9S,29,100
mechdef_banshee_BNC-3E,mechdef_vindicator_VND-1AA,100,100
mechdef_banshee_BNC-3E,mechdef_vindicator_VND-1R,100,100
mechdef_banshee_BNC-3E,mechdef_wolverine_WVR-6K,88,100
mechdef_banshee_BNC-3E,mechdef_wolverine_WVR-6R,99,100
mechdef_banshee_BNC-3E,mechdef_zeus_ZEU-6S,40,100
mechdef_banshee_BNC-3M,mechdef_awesome_AWS-8Q,67,100
mechdef_banshee_BNC-3M,mechdef_awesome_AWS-8T,72,100
mechdef_banshee_BNC-3M,mechdef_banshee_BNC-3E,96,100
mechdef_banshee_BNC-3M,mechdef_banshee_BNC-3M,58,100
mechdef_banshee_BNC-3M,mechdef_battlemaster_BLR-1G,4,100
mechdef_banshee_BNC-3M,mechdef_blackjack_BJ-1,100,100
mechdef_banshee_BNC-3M,mechdef_blackjack_BJ-1DB,100,100
mechdef_banshee_BNC-3M,mechdef_blackknight_BL-6-KNT,56,100
mechdef_banshee_BNC-3M,mechdef_blackknight_BL-6b-KNT,29,100
mechdef_banshee_BNC-3M,mechdef_cataphract_CTF-1X,85,100
mechdef_banshee_BNC-3M,mechdef_catapult_CPLT-C1,92,100
mechdef_banshee_BNC-3M,mechdef_catapult_CPLT-C4,93,100
mechdef_banshee_BNC-3M,mechdef_catapult_CPLT-K2,93,100
mechdef_banshee_BNC-3M,mechdef_centurion_CN9-A,100,100
mechdef_banshee_BNC-3M,mechdef_centurion_CN9-AL,100,100
mechdef_banshee_BNC-3M,mechdef_centurion_CN9-AS,100,100
mechdef_banshee_BNC-3M,mechdef_cicada_CDA-2A,100,100
mechdef_banshee_BNC-3M,mechdef_cicada_CDA-3C,100,100
mechdef_banshee_BNC-3M,mechdef_commando_COM-1B,100,100
mechdef_banshee_BNC-3M,mechdef_commando_COM-2D,100,100
mechdef_banshee_BNC-3M,mechdef_dragon_DRG-1N,99,100
mechdef_banshee_BNC-3M,mechdef_enforcer_ENF-4R,100,100
mechdef_banshee_BNC-3M,mechdef_firestarter_FS9-H,5,100
mechdef_banshee_BNC-3M,mechdef_grasshopper_GHR-5H,94,100
mechdef_banshee_BNC-3M,mechdef_griffin_GRF-1N,100,100
mechdef_banshee_BNC-3M,mechdef_griffin_GRF-1S,100,100
mechdef_banshee_BNC-3M,mechdef_griffin_GRF-4N,98,100
mechdef_banshee_BNC-3M,mechdef_griffin_GRF-4N_fp_greed,99,100
mechdef_banshee_BNC-3M,mechdef_highlander_HGN-732b,1,100
mechdef_banshee_BNC-3M,mechdef_highlander_HGN-733,8,100
mechdef_banshee_BNC-3M,mechdef_highlander_HGN-733P,7,100
mechdef_banshee_BNC-3M,mechdef_hunchback_HBK-4G,94,100
mechdef_banshee_BNC-3M,mechdef_hunchback_HBK-4P,96,100
mechdef_banshee_BNC-3M,mechdef_jagermech_JM6-A,99,100
mechdef_banshee_BNC-3M,mechdef_jagermech_JM6-S,99,100
mechdef_banshee_BNC-3M,mechdef_jenner_JR7-D,100,100
mechdef_banshee_BNC-3M,mechdef_kingcrab_KGC-0000,19,100
mechdef_banshee_BNC-3M,mechdef_kingcrab_KGC-V-0000,13,100
mechdef_banshee_BNC-3M,mechdef_kintaro_KTO-18,92,100
mechdef_banshee_BNC-3M,mechdef_locust_LCT-1M,100,100
mechdef_banshee_BNC-3M,mechdef_locust_LCT-1S,100,100
mechdef_banshee_BNC-3M,mechdef_locust_LCT-1V,100,100
mechdef_banshee_BNC-3M,mechdef_orion_ON1-K,33,100
mechdef_banshee_BNC-3M,mechdef_orion_ON1-V,49,100
mechdef_banshee_BNC-3M,mechdef_panther1b_PNT-9R,100,100
